method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.75,20260702,300,0.7250000238418579,0.7758548737216573,0.7794344424494374,0.7748182551629678,0.6324108716344206,0.820220805055354,0.7341784962118104,0.7531992517140889,0.6174572806019465
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.75,20260702,300,0.625,0.7618182402564989,0.729232276672026,0.7292812514607127,0.5739124037471185,0.7563083720889239,0.7041191433494708,0.7263420050232906,0.5860029799367865
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.75,20260703,300,0.6000000238418579,0.7389148674873961,0.7088061779292624,0.7060480009148477,0.5456523900531368,0.7395047311055216,0.6754875413692185,0.7087360262903184,0.5611472552661962
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.75,20260703,300,0.699999988079071,0.7743140099008612,0.7809832256464582,0.7780899338370574,0.6367816710770091,0.8153580789363657,0.7440797571182407,0.7566208007350813,0.6216149381843302
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.75,20260703,300,0.625,0.7615973583465986,0.7273971145136471,0.7283009182563099,0.572699098954841,0.7539581109983882,0.7043324854352999,0.7249767380451787,0.5843484929056
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.9,20260701,360,0.6000000238418579,0.7386507769341661,0.7075163274434476,0.705488078365238,0.5449838402989129,0.7422216517806585,0.672219031208118,0.7077838849801978,0.5599519413967482
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.9,20260701,360,0.699999988079071,0.7792245531781852,0.7817316108015315,0.7783647784307622,0.6371499156932644,0.8183699261909143,0.7420885643171685,0.7557533431100939,0.6211271612987841
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.9,20260701,360,0.6000000238418579,0.7623400991500484,0.7282634859765764,0.7279687925763555,0.5722884692827419,0.7586688080101669,0.6996567380542108,0.7259109447434835,0.5853989109251052
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.9,20260702,360,0.6000000238418579,0.740716851036549,0.7082615838262313,0.7054728233826361,0.5449656338819062,0.7462491418109696,0.6689218019200788,0.708418601573776,0.5609225654372527
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.9,20260702,360,0.7250000238418579,0.7777313468475767,0.7808333995873833,0.7765511359085356,0.6347230020808463,0.8220068531761248,0.7358592489264517,0.7553097541294528,0.6203930342096464
